sombol,Market Cap,Enterprise Value,No. of Shares,P/E,P/B,Face Value,Div. Yield,CASH,DEBT,Promoter Holding,Sales Growth,ROE,ROCE,CASA %,Net Interest Income,Cost To Income %,CAR %,Advances,Operating Revenue,Net Profit
KABRAEXTRU,₹ 1910.66 Cr.,₹ 1936.89 Cr.,3.36 Cr.,51.15,5.47,₹ 5,0.53%,₹ 32.22 Cr.,₹ 58.45 Cr.,60.45%,46.94%,9.90%,13.32%,,,,,,,
INDORAMA,₹ 1199.81 Cr.,₹ 1485.31 Cr.,26.11 Cr.,14.01,2.08,₹ 10,0%,₹ 8.61 Cr.,₹ 294.11 Cr.,74.84%,92.86%,57.53%,34.91%,,,,,,,
SOLARA,₹ 1350.76 Cr.,₹ 2328.19 Cr.,3.6 Cr.,0,0.9,₹ 10,0%,₹ 47.14 Cr.,₹ 1024.57 Cr.,40.40%,-21.56%,-3.76%,-0.69%,,,,,,,
DYNAMATECH,₹ 1733.18 Cr.,₹ 2126.68 Cr.,0.63 Cr.,58.65,4.48,₹ 10,0%,₹ 29.15 Cr.,₹ 422.65 Cr.,44.84%,6.86%,11.19%,12.53%,,,,,,,
JSWISPL,₹ 1497.86 Cr.,₹ 4039.76 Cr.,46.95 Cr.,0,3.21,₹ 10,0%,₹ 129.86 Cr.,₹ 2671.76 Cr.,53.17%,44.72%,1.07%,7%,,,,,,,
SPCENET,₹ 1111.1 Cr.,₹ 1107.95 Cr.,53.04 Cr.,425.81,30.91,₹ 1,0%,₹ 5.53 Cr.,₹ 2.38 Cr.,16.61%,359.76%,4.98%,3.67%,,,,,,,
SHANKARA,₹ 1604.02 Cr.,₹ 1741.76 Cr.,2.28 Cr.,29.86,3.63,₹ 10,0.14%,₹ 2.09 Cr.,₹ 139.83 Cr.,52.10%,18.98%,7.50%,10.98%,,,,,,,
GRWRHITECH,₹ 1470.61 Cr.,₹ 1629.49 Cr.,2.32 Cr.,8.94,0.82,₹ 10,1.57%,₹ 42.99 Cr.,₹ 201.87 Cr.,60.72%,31.61%,9.90%,13.36%,,,,,,,
IMAGICAA,₹ 1409.51 Cr.,₹ 2480.92 Cr.,41.15 Cr.,2.95,11.35,₹ 10,0%,₹ 6.08 Cr.,₹ 1077.5 Cr.,72.66%,228.10%,0%,-18.57%,,,,,,,
HESTERBIO,₹ 1525.24 Cr.,₹ 1645.17 Cr.,0.85 Cr.,49.16,5.33,₹ 10,0.56%,₹ 1.98 Cr.,₹ 121.91 Cr.,53.73%,5.22%,15.62%,17.31%,,,,,,,
GTLINFRA,₹ 1203.59 Cr.,₹ 4743.47 Cr.,1266.93 Cr.,0,0,₹ 10,0%,₹ 489.89 Cr.,₹ 4029.77 Cr.,3.32%,3.76%,0%,-34.12%,,,,,,,
VERANDA,₹ 1248.99 Cr.,₹ 1376.37 Cr.,6.16 Cr.,166.39,2.78,₹ 10,0%,₹ 72.6 Cr.,₹ 199.98 Cr.,59.67%,0,,,,,,,,,
DCW,₹ 1475.78 Cr.,₹ 1914.87 Cr.,29.52 Cr.,7.22,1.46,₹ 2,0.80%,₹ 112.44 Cr.,₹ 551.53 Cr.,45.10%,67.64%,14.51%,19.25%,,,,,,,
HUHTAMAKI,₹ 1502.51 Cr.,₹ 1819.03 Cr.,7.55 Cr.,30.27,1.98,₹ 2,1.01%,₹ 32.19 Cr.,₹ 348.71 Cr.,67.73%,6.60%,-3.09%,-0.38%,,,,,,,
THANGAMAYL,₹ 1385.13 Cr.,₹ 1752.31 Cr.,1.37 Cr.,24.44,3.78,₹ 10,0.99%,₹ 16.59 Cr.,₹ 383.77 Cr.,66.66%,20.59%,12.39%,12.21%,,,,,,,
SJS,₹ 1310.2 Cr.,₹ 1307.99 Cr.,3.04 Cr.,21.49,3.24,₹ 10,0.85%,₹ 9.91 Cr.,₹ 7.7 Cr.,50.37%,0,,,,,,,,,
GALLANTT,₹ 1454.92 Cr.,₹ 1828.1 Cr.,24.13 Cr.,8.99,0.67,₹ 10,0%,₹ 13.38 Cr.,₹ 386.56 Cr.,68.73%,43.33%,9.59%,10.82%,,,,,,,
SUVEN,₹ 1276.82 Cr.,₹ 1274.16 Cr.,21.81 Cr.,0,1.49,₹ 1,0%,₹ 3.15 Cr.,₹ 0.48 Cr.,69.57%,-12.12%,-8.62%,-8.10%,,,,,,,
DCAL,₹ 1614.08 Cr.,₹ 2054.57 Cr.,15.68 Cr.,0,0.39,₹ 2,0%,₹ 86.47 Cr.,₹ 526.96 Cr.,59.32%,51.15%,-0.68%,-0.93%,,,,,,,
ORCHPHARMA,₹ 1714.9 Cr.,₹ 1978.65 Cr.,4.08 Cr.,0,2.57,₹ 10,0%,₹ 4.21 Cr.,₹ 267.95 Cr.,89.96%,23.58%,-7.76%,-1.86%,,,,,,,
WENDT,₹ 1710.82 Cr.,₹ 1709.39 Cr.,0.2 Cr.,48,10.52,₹ 10,0.76%,₹ 2.43 Cr.,₹ 1 Cr.,75%,32.55%,20.09%,27.02%,,,,,,,
NRBBEARING,₹ 1417.98 Cr.,₹ 1633.92 Cr.,9.69 Cr.,18.18,2.3,₹ 2,1.37%,₹ 54.34 Cr.,₹ 270.28 Cr.,49.89%,24.18%,12.91%,13.83%,,,,,,,
GOLDIAM,₹ 1674.39 Cr.,₹ 1620.51 Cr.,10.9 Cr.,29.75,5.96,₹ 2,0.78%,₹ 53.89 Cr.,₹ 0 Cr.,66.39%,80.85%,23.65%,28.82%,,,,,,,
KCP,₹ 1301.46 Cr.,₹ 1435.46 Cr.,12.89 Cr.,0,1.94,₹ 1,0.99%,₹ 202.31 Cr.,₹ 336.31 Cr.,43.99%,22.36%,19.25%,20.91%,,,,,,,
