sombol,Market Cap,Enterprise Value,No. of Shares,P/E,P/B,Face Value,Div. Yield,CASH,DEBT,Promoter Holding,Sales Growth,ROE,ROCE,CASA %,Net Interest Income,Cost To Income %,CAR %,Advances,Operating Revenue,Net Profit
JKTYRE,₹ 3791.96 Cr.,₹ 6536.62 Cr.,24.62 Cr.,26.59,1.46,₹ 2,0.97%,₹ 76.27 Cr.,₹ 2820.93 Cr.,56.26%,30.93%,7.46%,9.82%,,,,,,,
RAJRATAN,₹ 3810.36 Cr.,₹ 3887.73 Cr.,5.08 Cr.,52.54,13.2,₹ 2,0.26%,₹ 7.64 Cr.,₹ 85.01 Cr.,65%,59.99%,31.96%,34.07%,,,,,,,
FDC,₹ 4430.63 Cr.,₹ 4405.38 Cr.,16.59 Cr.,24.88,2.29,₹ 1,0%,₹ 32.06 Cr.,₹ 6.8 Cr.,69.49%,14.60%,11.97%,15.66%,,,,,,,
PRIVISCL,₹ 3921.7 Cr.,₹ 4767.79 Cr.,3.91 Cr.,59.65,4.7,₹ 10,0.20%,₹ 30.89 Cr.,₹ 876.98 Cr.,74.05%,10.86%,13.37%,11.12%,,,,,,,
VIJAYA,₹ 4224.73 Cr.,₹ 4038.67 Cr.,10.21 Cr.,52.96,8.16,₹ 1,0.24%,₹ 186.06 Cr.,₹ 0 Cr.,55.01%,22.75%,26.12%,38.68%,,,,,,,
INFIBEAM,₹ 4204.12 Cr.,₹ 4095.61 Cr.,267.78 Cr.,33.7,1.47,₹ 1,0.32%,₹ 108.5 Cr.,₹ 0 Cr.,30.64%,102.44%,2.62%,3.20%,,,,,,,
ENGINERSIN,₹ 4285.57 Cr.,₹ 2965.44 Cr.,56.2 Cr.,13.84,2.09,₹ 5,3.93%,₹ 1320.13 Cr.,₹ 0 Cr.,51.32%,-7.58%,19%,24.85%,,,,,,,
MASFIN,₹ 4454.68 Cr.,,5.47 Cr.,23.52,3.14,₹ 10,0.37%,,,73.73%,10.57,12.72%,10.64%,,,,,₹ 4553.8 Cr.,₹ 655.94 Cr.,₹ 157.83 Cr.
ICRA,₹ 4415.39 Cr.,₹ 4208.17 Cr.,0.97 Cr.,48.76,6.21,₹ 10,0.62%,₹ 207.22 Cr.,₹ 0 Cr.,51.87%,7.43%,11.46%,14.83%,,,,,,,
IBREALEST,₹ 3038.8 Cr.,₹ 3531.54 Cr.,54.17 Cr.,0,0.45,₹ 2,0%,₹ 18.26 Cr.,₹ 511 Cr.,0%,-99.95%,-0.89%,-0.13%,,,,,,,
KAYNES,₹ 5059.27 Cr.,₹ 5204.78 Cr.,5.81 Cr.,123.44,4.69,₹ 10,0%,₹ 19.69 Cr.,₹ 165.2 Cr.,63.57%,0,,,,,,,,,
MAHSEAMLES,₹ 4345.6 Cr.,₹ 4939.3 Cr.,13.4 Cr.,9.57,1.1,₹ 5,0.77%,₹ 39.12 Cr.,₹ 632.83 Cr.,67.63%,59.82%,11.11%,12.72%,,,,,,,
TEAMLEASE,₹ 4304.37 Cr.,₹ 4088.62 Cr.,1.71 Cr.,41.54,5.7,₹ 10,0%,₹ 240.92 Cr.,₹ 25.17 Cr.,31.51%,26.30%,3.39%,4.11%,,,,,,,
NESCO,₹ 3960.91 Cr.,₹ 3954.4 Cr.,7.05 Cr.,15.28,2.11,₹ 2,0.53%,₹ 6.51 Cr.,₹ 0 Cr.,68.54%,15.91%,11.75%,14.63%,,,,,,,
AARTIDRUGS,₹ 3507.69 Cr.,₹ 4020.36 Cr.,9.26 Cr.,22.98,3.27,₹ 10,0.26%,₹ 2.21 Cr.,₹ 514.88 Cr.,59.66%,17.56%,21.29%,20.82%,,,,,,,
HEIDELBERG,₹ 3870.55 Cr.,₹ 3678.64 Cr.,22.66 Cr.,24.53,2.72,₹ 10,5.27%,₹ 382.13 Cr.,₹ 190.22 Cr.,69.39%,8.52%,16.49%,20.97%,,,,,,,
LAOPALA,₹ 3944.94 Cr.,₹ 3954.52 Cr.,11.1 Cr.,35.08,4.92,₹ 2,0.65%,₹ 4.41 Cr.,₹ 13.99 Cr.,65.64%,52.73%,12.43%,16.97%,,,,,,,
HSCL,₹ 3787.25 Cr.,₹ 4102.7 Cr.,41.94 Cr.,24.87,1.82,₹ 1,0.22%,₹ 262.92 Cr.,₹ 578.38 Cr.,45.38%,66.20%,3.71%,4.76%,,,,,,,
RKFORGE,₹ 4363.39 Cr.,₹ 5908.42 Cr.,15.99 Cr.,17.08,3.49,₹ 2,0.18%,₹ 32.37 Cr.,₹ 1577.4 Cr.,46.27%,77.38%,20.97%,15.12%,,,,,,,
NIITLTD,₹ 4745.41 Cr.,₹ 4646.56 Cr.,13.46 Cr.,37.36,3.3,₹ 2,0.85%,₹ 99.87 Cr.,₹ 1.02 Cr.,34.86%,20.95%,10.13%,9.70%,,,,,,,
JAMNAAUTO,₹ 4169.6 Cr.,₹ 4312.26 Cr.,39.86 Cr.,26.24,5.56,₹ 1,1.43%,₹ 23.99 Cr.,₹ 166.65 Cr.,49.98%,56.65%,20.57%,22.96%,,,,,,,
SPANDANA,₹ 4192.63 Cr.,,7.1 Cr.,0,1.46,₹ 10,0%,,,63.01%,-4.61,1.65%,7.96%,,,,,₹ 5263.74 Cr.,₹ 1376.34 Cr.,₹ 46.64 Cr.
BOROLTD,₹ 3904.34 Cr.,₹ 3876.69 Cr.,11.44 Cr.,37.49,4.63,₹ 1,0%,₹ 27.65 Cr.,₹ 0 Cr.,70.30%,42.33%,10.61%,15.33%,,,,,,,
GREENPANEL,₹ 3480.17 Cr.,₹ 3541.34 Cr.,12.26 Cr.,14.24,3.02,₹ 1,0.53%,₹ 221.27 Cr.,₹ 282.45 Cr.,53.10%,59.26%,26.51%,28.78%,,,,,,,
BHARATRAS,₹ 3626.8 Cr.,₹ 3794.14 Cr.,0.42 Cr.,22.28,4.17,₹ 10,0.02%,₹ 6.28 Cr.,₹ 173.61 Cr.,74.99%,19.15%,23.62%,27.97%,,,,,,,
CSBBANK,₹ 4169.73 Cr.,,17.35 Cr.,7.99,1.44,₹ 10,0%,,,49.72%,,20.33%,16.65%,33.66,₹ 1153.3 Cr.,56.17,25.9,,,
PRUDENT,₹ 3658.9 Cr.,,4.14 Cr.,52.16,14.83,₹ 5,0.11%,,,58.44%,0,,,,,,,₹ 0 Cr.,₹ 391.11 Cr.,₹ 58.66 Cr.
GREENLAM,₹ 3992.65 Cr.,₹ 4307.13 Cr.,12.7 Cr.,42.26,4.53,₹ 1,0.38%,₹ 8.54 Cr.,₹ 323.03 Cr.,51.22%,38.46%,14.34%,14.18%,,,,,,,
ELECON,₹ 4666.96 Cr.,₹ 4727.89 Cr.,11.22 Cr.,28.76,4.58,₹ 2,0.34%,₹ 39.08 Cr.,₹ 100.02 Cr.,59.29%,11.10%,11.06%,15.23%,,,,,,,
RAILTEL,₹ 3702.02 Cr.,₹ 3425.85 Cr.,32.09 Cr.,22.31,2.3,₹ 10,2.08%,₹ 276.17 Cr.,₹ 0 Cr.,72.84%,13.78%,14.28%,19.61%,,,,,,,
MIDHANI,₹ 3912.6 Cr.,₹ 4117.59 Cr.,18.73 Cr.,22.91,3.05,₹ 10,1.48%,₹ 62.58 Cr.,₹ 267.58 Cr.,74%,5.69%,15.58%,19.45%,,,,,,,
TATACOFFEE,₹ 3938.05 Cr.,₹ 3909.27 Cr.,18.68 Cr.,17.35,2.97,₹ 1,0.95%,₹ 101.9 Cr.,₹ 73.11 Cr.,57.48%,10.89%,9.03%,10.51%,,,,,,,
OLECTRA,₹ 3468.32 Cr.,₹ 3336.56 Cr.,8.21 Cr.,57.46,4.23,₹ 4,0.09%,₹ 197.74 Cr.,₹ 65.97 Cr.,50.02%,111.18%,4.68%,7.67%,,,,,,,
UFLEX,₹ 3511.64 Cr.,₹ 5054.77 Cr.,7.22 Cr.,14.38,1.24,₹ 10,0.62%,₹ 164.35 Cr.,₹ 1707.48 Cr.,44.58%,22.46%,8.62%,10.51%,,,,,,,
IONEXCHANG,₹ 4689.96 Cr.,₹ 4208.76 Cr.,1.47 Cr.,26.24,5.41,₹ 10,0.31%,₹ 512.56 Cr.,₹ 31.35 Cr.,26.99%,7.68%,22.12%,30.02%,,,,,,,
HGINFRA,₹ 4981.03 Cr.,₹ 5137.18 Cr.,6.52 Cr.,13.65,3.05,₹ 10,0.13%,₹ 158.5 Cr.,₹ 314.66 Cr.,74.53%,42.61%,28.27%,33.83%,,,,,,,
ROSSARI,₹ 3798.83 Cr.,₹ 3764.02 Cr.,5.52 Cr.,58.33,4.55,₹ 2,0.07%,₹ 34.81 Cr.,₹ 0 Cr.,68.44%,55.39%,13.43%,18.37%,,,,,,,
HCG,₹ 3890.38 Cr.,₹ 3877.87 Cr.,13.91 Cr.,215.05,3.42,₹ 10,0%,₹ 119.96 Cr.,₹ 107.45 Cr.,71.38%,39.58%,3.90%,10.46%,,,,,,,
SHAREINDIA,₹ 3798 Cr.,,3.19 Cr.,19.01,7.34,₹ 10,0.50%,,,53.01%,75.95,49.26%,59.09%,,,,,₹ 0 Cr.,₹ 673.54 Cr.,₹ 156.6 Cr.
SAFARI,₹ 4632.24 Cr.,₹ 4584.09 Cr.,2.37 Cr.,53.57,12.03,₹ 2,0.04%,₹ 59.18 Cr.,₹ 11.02 Cr.,47.23%,115.09%,7.95%,11.54%,,,,,,,
HEG,₹ 3842.38 Cr.,₹ 3904.11 Cr.,3.86 Cr.,8.01,0.96,₹ 10,4.01%,₹ 601.67 Cr.,₹ 663.4 Cr.,55.13%,75.26%,10.89%,12.97%,,,,,,,
SCHNEIDER,₹ 3994.23 Cr.,₹ 4456.65 Cr.,23.91 Cr.,50.65,39.23,₹ 2,0%,₹ 36.11 Cr.,₹ 498.53 Cr.,75%,17.98%,428.41%,14.14%,,,,,,,
DCBBANK,₹ 3533.1 Cr.,,31.14 Cr.,8.09,0.86,₹ 10,0.88%,,,14.85%,,7.82%,8.05%,26.75,₹ 1357.51 Cr.,55.96,18.92,,,
SANSERA,₹ 3998.82 Cr.,₹ 4529.66 Cr.,5.29 Cr.,26.02,3.5,₹ 2,0.26%,₹ 38.58 Cr.,₹ 569.42 Cr.,35.51%,29.13%,13.71%,14.62%,,,,,,,
SOUTHBANK,₹ 3735.54 Cr.,,209.27 Cr.,5.24,0.59,₹ 1,0%,,,0%,,0.77%,2.02%,33.21,₹ 2239.76 Cr.,61.89,15.86,,,
NOCIL,₹ 3717.8 Cr.,₹ 3702.43 Cr.,16.66 Cr.,19.69,2.42,₹ 10,1.34%,₹ 15.37 Cr.,₹ 0 Cr.,33.84%,69.93%,13.05%,17.78%,,,,,,,
PCJEWELLER,₹ 1212.38 Cr.,₹ 4437.45 Cr.,46.54 Cr.,0,0.31,₹ 10,0%,₹ 57.62 Cr.,₹ 3282.69 Cr.,54.53%,-41.03%,-9.68%,-0.96%,,,,,,,
TEGA,₹ 4224.43 Cr.,₹ 4389.78 Cr.,6.64 Cr.,37.45,4.23,₹ 10,0%,₹ 3.65 Cr.,₹ 168.99 Cr.,79.17%,0,,,,,,,,,
NAZARA,₹ 3685.9 Cr.,₹ 3657.4 Cr.,6.62 Cr.,0,3.97,₹ 4,0%,₹ 28.5 Cr.,₹ 0 Cr.,19.14%,-37.99%,-5.03%,-5.01%,,,,,,,
NFL,₹ 3144.61 Cr.,₹ 6285.36 Cr.,49.06 Cr.,4.07,1.05,₹ 10,0%,₹ 28.81 Cr.,₹ 3169.56 Cr.,74.71%,33.19%,4.86%,5.93%,,,,,,,
BARBEQUE,₹ 2805.47 Cr.,₹ 2763.21 Cr.,3.9 Cr.,163.61,6.42,₹ 5,0%,₹ 62.81 Cr.,₹ 20.55 Cr.,33.78%,67.90%,-7.62%,6.92%,,,,,,,
INDOCO,₹ 3462.09 Cr.,₹ 3687.09 Cr.,9.22 Cr.,22.14,3.47,₹ 2,0.60%,₹ 19.21 Cr.,₹ 244.21 Cr.,58.69%,24.14%,18.47%,23.31%,,,,,,,
DAAWAT,₹ 3375.96 Cr.,₹ 3647.66 Cr.,31.98 Cr.,27.48,2.97,₹ 1,0.95%,₹ 19.22 Cr.,₹ 290.92 Cr.,56.81%,19.18%,11.17%,12.79%,,,,,,,
TARSONS,₹ 3314.75 Cr.,₹ 3250.55 Cr.,5.32 Cr.,37.95,6.05,₹ 2,0%,₹ 85.82 Cr.,₹ 21.62 Cr.,47.31%,0,,,,,,,,,
JTEKTINDIA,₹ 2477.81 Cr.,₹ 2483.28 Cr.,24.45 Cr.,36.1,3.8,₹ 1,0.39%,₹ 61.52 Cr.,₹ 66.99 Cr.,73.98%,19.28%,5.60%,7.54%,,,,,,,
SARDAEN,₹ 3904.56 Cr.,₹ 4051.68 Cr.,3.52 Cr.,5.54,1.32,₹ 10,0.68%,₹ 23.41 Cr.,₹ 170.53 Cr.,72.64%,65.64%,28.35%,35.29%,,,,,,,
FUSION,₹ 4189.26 Cr.,,10.06 Cr.,192.56,1.55,₹ 10,0%,,,68.18%,0,,,,,,,₹ 5918.19 Cr.,₹ 1151.27 Cr.,₹ 21.76 Cr.
IFBIND,₹ 3381.5 Cr.,₹ 3527.18 Cr.,4.05 Cr.,0,5.12,₹ 10,0%,₹ 87.31 Cr.,₹ 232.99 Cr.,74.96%,22.25%,-7.74%,-4.74%,,,,,,,
ANANTRAJ,₹ 3644.46 Cr.,₹ 4865.33 Cr.,32.41 Cr.,35.25,1.34,₹ 2,0.11%,₹ 18.05 Cr.,₹ 1238.92 Cr.,63.03%,37.66%,2.25%,2.27%,,,,,,,
RELINFRA,₹ 4469.49 Cr.,₹ 8154.29 Cr.,35.18 Cr.,0,0.43,₹ 10,0%,₹ 158.13 Cr.,₹ 3842.93 Cr.,4.56%,-13.13%,-3.61%,2.06%,,,,,,,
ACE,₹ 4557.91 Cr.,₹ 4551.5 Cr.,11.91 Cr.,31.38,5.32,₹ 2,0.16%,₹ 14.02 Cr.,₹ 7.6 Cr.,66.76%,32.87%,16.57%,22.69%,,,,,,,
MAHLOG,₹ 2732.25 Cr.,₹ 2601.19 Cr.,7.2 Cr.,52.15,4.53,₹ 10,0.53%,₹ 131.06 Cr.,₹ 0 Cr.,58.10%,22.71%,4.38%,10.30%,,,,,,,
TECHNOE,₹ 3892.04 Cr.,₹ 3845.42 Cr.,10.76 Cr.,23.94,1.99,₹ 2,0.55%,₹ 46.63 Cr.,₹ 0 Cr.,61.16%,21.13%,15.12%,19.14%,,,,,,,
NAVA,₹ 3848.79 Cr.,₹ 3840.81 Cr.,14.51 Cr.,10.27,1.11,₹ 2,2.26%,₹ 200.83 Cr.,₹ 192.85 Cr.,48.81%,63.43%,11.93%,17.35%,,,,,,,
JWL,₹ 4062.39 Cr.,₹ 4132.25 Cr.,38.74 Cr.,81.2,5.29,₹ 10,0%,₹ 68.88 Cr.,₹ 138.75 Cr.,74.62%,18.34%,7.60%,11.83%,,,,,,,
ISGEC,₹ 3367.28 Cr.,₹ 3722.71 Cr.,7.35 Cr.,22.3,1.79,₹ 1,0.44%,₹ 78.23 Cr.,₹ 433.66 Cr.,62.43%,3.13%,6.53%,9.29%,,,,,,,
AMIORG,₹ 3364.23 Cr.,₹ 3266.16 Cr.,3.64 Cr.,43.43,6.01,₹ 10,0.32%,₹ 98.92 Cr.,₹ 0.84 Cr.,39.41%,52.71%,21.10%,23.88%,,,,,,,
TINPLATE,₹ 3382.86 Cr.,₹ 2920.18 Cr.,10.47 Cr.,16.86,2.79,₹ 10,1.24%,₹ 462.68 Cr.,₹ 0 Cr.,74.96%,86.27%,35%,47.53%,,,,,,,
BANARISUG,₹ 3495.69 Cr.,₹ 4452.2 Cr.,1.25 Cr.,29.69,2.32,₹ 10,0.36%,₹ 3.45 Cr.,₹ 959.96 Cr.,58.70%,27.86%,5.76%,6.64%,,,,,,,
JINDALPOLY,₹ 2850.28 Cr.,₹ 3934.79 Cr.,4.38 Cr.,1.3,0.52,₹ 10,0.77%,₹ 118.86 Cr.,₹ 1203.38 Cr.,74.55%,44.04%,37.58%,39.49%,,,,,,,
HARSHA,₹ 3280.32 Cr.,₹ 3535.87 Cr.,9.1 Cr.,30.92,3,₹ 10,0%,₹ 31.99 Cr.,₹ 287.54 Cr.,74.61%,0,,,,,,,,,
PAISALO,₹ 2759.24 Cr.,,44.9 Cr.,31.66,2.44,₹ 1,0.02%,,,45.92%,14.4,8.78%,12.08%,,,,,₹ 0 Cr.,₹ 356.4 Cr.,₹ 78.71 Cr.
WSTCSTPAPR,₹ 3325.23 Cr.,₹ 3716.95 Cr.,6.6 Cr.,6.61,1.76,₹ 2,1.19%,₹ 5.06 Cr.,₹ 396.77 Cr.,56.52%,45.07%,15.58%,15.70%,,,,,,,
ASTEC,₹ 2866.94 Cr.,₹ 3144.49 Cr.,1.96 Cr.,38.98,6.76,₹ 10,0.10%,₹ 1.81 Cr.,₹ 279.37 Cr.,66.77%,21.93%,25.52%,22.22%,,,,,,,
DISHTV,₹ 2633 Cr.,₹ 2492.63 Cr.,184.13 Cr.,0,3.04,₹ 1,0%,₹ 140.37 Cr.,₹ 0 Cr.,4.04%,-13.73%,-118.11%,-108.40%,,,,,,,
GATEWAY,₹ 3150.25 Cr.,₹ 3150.25 Cr.,49.96 Cr.,12.38,1.84,₹ 10,7.94%,0,0,32.12%,,,,,,,,,,
UJJIVAN,₹ 3248.81 Cr.,,12.17 Cr.,941.14,1.8,₹ 10,0%,,,0%,0,0.12%,0.17%,,,,,₹ 0 Cr.,₹ 0 Cr.,₹ 2.17 Cr.
THOMASCOOK,₹ 3111.57 Cr.,₹ 2873.99 Cr.,47.04 Cr.,0,1.76,₹ 1,0%,₹ 403.98 Cr.,₹ 166.4 Cr.,72.34%,52.70%,-5.26%,-5.34%,,,,,,,
DHANUKA,₹ 3097.73 Cr.,₹ 3096.27 Cr.,4.56 Cr.,13.92,3.05,₹ 2,2.06%,₹ 2.43 Cr.,₹ 0.96 Cr.,70%,6.51%,23.77%,31.81%,,,,,,,
EMIL,₹ 2837.52 Cr.,₹ 3396.78 Cr.,38.47 Cr.,27.31,2.4,₹ 10,0%,₹ 34.38 Cr.,₹ 593.64 Cr.,77.97%,0,,,,,,,,,
JINDALSAW,₹ 4668.41 Cr.,₹ 8324.28 Cr.,31.98 Cr.,9.94,0.6,₹ 2,1.37%,₹ 516.71 Cr.,₹ 4172.58 Cr.,63.02%,27.69%,5.54%,9.02%,,,,,,,
THYROCARE,₹ 2514.18 Cr.,₹ 2502.18 Cr.,5.29 Cr.,37.3,5,₹ 10,3.16%,₹ 12 Cr.,₹ 0 Cr.,71.14%,18.40%,31.68%,43.42%,,,,,,,
VESUVIUS,₹ 3636.55 Cr.,₹ 3082.61 Cr.,2.03 Cr.,35.55,3.75,₹ 10,0.45%,₹ 553.94 Cr.,₹ 0 Cr.,55.57%,32.30%,7.83%,10.65%,,,,,,,
GREAVESCOT,₹ 3053.16 Cr.,₹ 2633.59 Cr.,23.16 Cr.,29.8,3.01,₹ 2,0.15%,₹ 419.57 Cr.,₹ 0 Cr.,55.54%,-11.40%,2.97%,4.50%,,,,,,,
TCNSBRANDS,₹ 3096.06 Cr.,₹ 3085.36 Cr.,6.17 Cr.,649.07,4.87,₹ 2,0%,₹ 10.7 Cr.,₹ 0 Cr.,32.21%,40.99%,-1.04%,4.84%,,,,,,,
WOCKPHARMA,₹ 2747.04 Cr.,₹ 4130.04 Cr.,14.41 Cr.,0,1.34,₹ 5,0%,₹ 207 Cr.,₹ 1590 Cr.,60.36%,39.01%,-7.42%,2.54%,,,,,,,
HINDWAREAP,₹ 2955.84 Cr.,₹ 3113.06 Cr.,7.23 Cr.,224.26,22.58,₹ 2,0.12%,₹ 2.67 Cr.,₹ 159.9 Cr.,51.32%,-2.35%,11.28%,13.28%,,,,,,,
DBREALTY,₹ 2396.62 Cr.,₹ 3118.53 Cr.,34.34 Cr.,9.22,0.74,₹ 10,0%,₹ 75.06 Cr.,₹ 796.97 Cr.,58.14%,1985.93%,-3.04%,1.55%,,,,,,,
AHLUCONT,₹ 3213.06 Cr.,₹ 2780.41 Cr.,6.7 Cr.,19.56,2.77,₹ 2,0.06%,₹ 433.34 Cr.,₹ 0.69 Cr.,55.32%,35.83%,16.20%,26.08%,,,,,,,
DBL,₹ 3041.27 Cr.,₹ 5780.14 Cr.,14.62 Cr.,18.27,0.68,₹ 10,0.05%,₹ 332.89 Cr.,₹ 3071.76 Cr.,70.15%,-2.20%,-2.08%,6.20%,,,,,,,
KKCL,₹ 2700.11 Cr.,₹ 2584.9 Cr.,6.16 Cr.,24.01,5.24,₹ 10,4.34%,₹ 191.8 Cr.,₹ 76.6 Cr.,74.25%,100.71%,17.92%,21.25%,,,,,,,
STAR,₹ 2674.77 Cr.,₹ 3904.95 Cr.,9.03 Cr.,18.73,0.79,₹ 10,0%,₹ 14.45 Cr.,₹ 1244.63 Cr.,30.89%,6.54%,5.42%,2.18%,,,,,,,
ADVENZYMES,₹ 3081.87 Cr.,₹ 3064.07 Cr.,11.18 Cr.,58.83,6.07,₹ 2,0.36%,₹ 17.98 Cr.,₹ 0.18 Cr.,49.87%,-3.77%,11.95%,15.78%,,,,,,,
RESPONIND,₹ 3384.45 Cr.,₹ 3726.27 Cr.,26.69 Cr.,337.95,4.96,₹ 1,0.08%,₹ 15.93 Cr.,₹ 357.74 Cr.,58.94%,33.93%,2.28%,4.78%,,,,,,,
MOLDTKPAC,₹ 3164.58 Cr.,₹ 3192.28 Cr.,3.32 Cr.,42.33,6.26,₹ 5,0.83%,₹ 16.31 Cr.,₹ 44.02 Cr.,34.01%,31.85%,18.77%,22.17%,,,,,,,
NEOGEN,₹ 3174.15 Cr.,₹ 3353.66 Cr.,2.49 Cr.,61.77,6.78,₹ 10,0.22%,₹ 45.22 Cr.,₹ 224.73 Cr.,60.19%,44.84%,14.37%,14.34%,,,,,,,
GRAVITA,₹ 3441.19 Cr.,₹ 3753.22 Cr.,6.9 Cr.,55.16,13.44,₹ 2,0.60%,₹ 6.54 Cr.,₹ 318.57 Cr.,73%,54.45%,20.03%,17.08%,,,,,,,
RATEGAIN,₹ 4037.3 Cr.,₹ 3817.5 Cr.,10.83 Cr.,495.15,6.18,₹ 1,0%,₹ 219.8 Cr.,₹ 0 Cr.,55.79%,0,,,,,,,,,
DALMIASUG,₹ 2801.31 Cr.,₹ 3516.32 Cr.,8.09 Cr.,16.03,1.12,₹ 2,1.15%,₹ 103.5 Cr.,₹ 818.51 Cr.,74.91%,12.39%,13.41%,13.43%,,,,,,,
CHENNPETRO,₹ 3675.88 Cr.,₹ 12886.58 Cr.,14.89 Cr.,1.04,0.7,₹ 10,0.81%,₹ 12 Cr.,₹ 9222.7 Cr.,67.29%,93.25%,64.71%,19.94%,,,,,,,
HEMIPROP,₹ 2781.6 Cr.,₹ 2701.31 Cr.,28.5 Cr.,0,7.58,₹ 10,0%,₹ 148.32 Cr.,₹ 68.03 Cr.,51.12%,0%,-4.60%,-2.99%,,,,,,,
HATHWAY,₹ 2814.47 Cr.,₹ 2657.44 Cr.,177.01 Cr.,46.82,0.62,₹ 2,0%,₹ 157.03 Cr.,₹ 0 Cr.,75%,1.04%,1.06%,1.58%,,,,,,,
TATASTLLP,₹ 2956.31 Cr.,₹ 11786.75 Cr.,4.51 Cr.,0,1.31,₹ 10,1.90%,₹ 4561.11 Cr.,₹ 13391.55 Cr.,74.91%,43.20%,21.74%,9.44%,,,,,,,
SAGCEM,₹ 2850.08 Cr.,₹ 3584.19 Cr.,13.07 Cr.,52.54,1.71,₹ 2,0.32%,₹ 156.69 Cr.,₹ 890.8 Cr.,45.20%,14.04%,8.34%,12.31%,,,,,,,
ITDC,₹ 2872.85 Cr.,₹ 2654.37 Cr.,8.58 Cr.,57.2,7.93,₹ 10,0%,₹ 218.47 Cr.,₹ 0 Cr.,87.03%,61.71%,2.24%,3.60%,,,,,,,
HCC,₹ 2231.72 Cr.,₹ 3033.88 Cr.,151.3 Cr.,10.69,3.42,₹ 1,0%,₹ 541.86 Cr.,₹ 1344.02 Cr.,18.59%,80.18%,-28.35%,24.33%,,,,,,,
IFCI,₹ 2602.17 Cr.,,219.59 Cr.,0,5.31,₹ 10,0%,,,66.35%,-41.12,-152.15%,-8.33%,,,,,₹ 2382.59 Cr.,₹ 802.44 Cr.,₹ -1991.33 Cr.
KSCL,₹ 3013.07 Cr.,₹ 2999.69 Cr.,5.59 Cr.,11.25,2.11,₹ 2,0.74%,₹ 14.46 Cr.,₹ 1.08 Cr.,59.90%,-7.29%,16.34%,17.06%,,,,,,,
INOXWIND,₹ 2720.3 Cr.,₹ 3389.85 Cr.,28.28 Cr.,0,1.16,₹ 10,0%,₹ 94.74 Cr.,₹ 764.29 Cr.,72.24%,2.81%,-18.84%,-8.86%,,,,,,,
DODLA,₹ 2939.54 Cr.,₹ 2879.17 Cr.,5.95 Cr.,21.81,3.39,₹ 10,0%,₹ 60.36 Cr.,₹ 0 Cr.,62.21%,14.13%,19.72%,23.09%,,,,,,,
RSYSTEMS,₹ 3006.09 Cr.,₹ 2921.34 Cr.,11.83 Cr.,26.67,7.7,₹ 1,2.24%,₹ 85.81 Cr.,₹ 1.06 Cr.,51.67%,31.63%,33.22%,39.81%,,,,,,,
JCHAC,₹ 3190.85 Cr.,₹ 3203.19 Cr.,2.72 Cr.,0,4.84,₹ 10,0%,₹ 30.67 Cr.,₹ 43.01 Cr.,74.25%,31.13%,2.21%,4.21%,,,,,,,
AUTOAXLES,₹ 3715.58 Cr.,₹ 3649.66 Cr.,1.51 Cr.,24.76,5.24,₹ 10,0.61%,₹ 80.51 Cr.,₹ 14.58 Cr.,71.04%,64.60%,12.66%,16.97%,,,,,,,
MIRZAINT,₹ 3283.75 Cr.,₹ 3346.64 Cr.,12.03 Cr.,20.83,3.7,₹ 2,0%,₹ 14.86 Cr.,₹ 77.75 Cr.,68.15%,59.68%,15.87%,21.92%,,,,,,,
POWERMECH,₹ 3187.05 Cr.,₹ 3547.04 Cr.,1.49 Cr.,17.41,2.71,₹ 10,0.07%,₹ 147.15 Cr.,₹ 507.14 Cr.,64.17%,49.97%,15.28%,18.41%,,,,,,,
MAITHANALL,₹ 2733.72 Cr.,₹ 2641.18 Cr.,2.91 Cr.,4.93,1.04,₹ 10,0.64%,₹ 94.26 Cr.,₹ 1.72 Cr.,74.99%,88.77%,41.92%,55.05%,,,,,,,
VAKRANGEE,₹ 2495.12 Cr.,₹ 2447.03 Cr.,105.95 Cr.,64.98,0.92,₹ 1,0.21%,₹ 48.09 Cr.,₹ 0 Cr.,42.60%,204.39%,3.74%,4.80%,,,,,,,
HBLPOWER,₹ 2781.65 Cr.,₹ 2728.59 Cr.,27.72 Cr.,29.32,3.02,₹ 1,0.40%,₹ 102.78 Cr.,₹ 49.72 Cr.,59.02%,34.39%,10.74%,14.15%,,,,,,,
ANANDRATHI,₹ 3261.27 Cr.,,4.17 Cr.,20.51,6.78,₹ 5,1.40%,,,48.74%,59.03,38.55%,46.74%,,,,,₹ 0 Cr.,₹ 403.66 Cr.,₹ 125.45 Cr.
GANESHHOUC,₹ 2738.85 Cr.,₹ 2832.04 Cr.,8.34 Cr.,93.24,3.1,₹ 10,0%,₹ 6.2 Cr.,₹ 99.39 Cr.,73.06%,2861.83%,0.01%,2.71%,,,,,,,
IPL,₹ 2521.51 Cr.,₹ 2429.08 Cr.,11.52 Cr.,17.37,3.39,₹ 1,0.34%,₹ 106.78 Cr.,₹ 14.35 Cr.,67.20%,10.35%,30.82%,40.76%,,,,,,,
NAVNETEDUL,₹ 2263.26 Cr.,₹ 2311.18 Cr.,22.62 Cr.,9.81,1.76,₹ 2,1.43%,₹ 22.08 Cr.,₹ 70 Cr.,63.31%,32.07%,13.54%,18.29%,,,,,,,
